"Date","Category","Priority"
2026-05-08,"Information Requests","Low"
2026-05-12,"Service Quality","Medium"
2026-05-08,"Account Access","Medium"
2026-02-12,"Service Quality","Medium"
2025-11-14,"Subscription Issues","Medium"
2025-11-21,"Technical Errors","Low"
2025-12-20,"Product Defects","Medium"
2025-11-15,"Website Problems","Medium"
2025-12-14,"Delivery Delays","Low"
2025-10-19,"Data/Privacy Queries","High"
2025-12-26,"Billing Issues","High"
2025-10-01,"Delivery Delays","Medium"
2026-03-07,"Refund Requests","Medium"
2026-05-22,"Fraud/Scam Concerns","High"
2026-01-24,"Product Defects","High"
2026-04-01,"Complaints Handling","Low"
2026-01-12,"Delivery Delays","Low"
2025-12-24,"Communication Problems","Low"
2026-01-04,"Billing Issues","Medium"
2026-02-10,"Service Quality","Low"
2026-05-14,"Billing Issues","High"
2026-04-20,"Customer Behaviour","Low"
2025-12-04,"Technical Errors","Medium"
2026-03-22,"Billing Issues","Low"
2026-03-15,"Product Defects","Low"
2025-11-30,"Billing Issues","Low"
2025-10-22,"Third-party Issues","Low"
2026-02-07,"Billing Issues","Low"
2025-10-04,"Fraud/Scam Concerns","Medium"
2026-01-07,"Complaints Handling","Low"
2025-10-02,"Third-party Issues","Low"
2025-11-02,"Customer Behaviour","Medium"
2026-03-09,"Cancellation Requests","Low"
2026-04-27,"Billing Issues","Medium"
2026-04-04,"Technical Errors","High"
2026-04-18,"Payment Failures","Low"
2026-03-27,"Information Requests","Medium"
2026-05-04,"Cancellation Requests","Medium"
2025-10-23,"Subscription Issues","Low"
2025-12-11,"Complaints Handling","Medium"
2025-12-27,"Third-party Issues","Low"
2025-10-29,"Subscription Issues","High"
2026-02-19,"Refund Requests","Low"
2026-04-22,"Billing Issues","Medium"
2026-05-21,"Payment Failures","Low"
2025-11-20,"Delivery Delays","Low"
2025-12-30,"Product Defects","Medium"
2025-11-01,"Account Access","High"
2025-11-03,"Billing Issues","Low"
2026-05-23,"Information Requests","Low"
2026-01-04,"Product Defects","Medium"
2026-03-11,"Service Quality","Medium"
2026-05-07,"Customer Behaviour","Low"
2026-03-23,"Cancellation Requests","Medium"
2026-04-05,"Customer Behaviour","Low"
2026-01-27,"Complaints Handling","Low"
2025-11-28,"Data/Privacy Queries","Medium"
2026-02-17,"Payment Failures","Low"
2025-10-19,"Delivery Delays","Low"
2025-10-10,"App Issues","Low"
2025-11-20,"Billing Issues","Medium"
2025-11-06,"Billing Issues","Low"
2026-02-03,"Delivery Delays","Low"
2026-01-20,"Technical Errors","Low"
2025-11-08,"Delivery Delays","Medium"
2025-10-04,"Website Problems","Low"
2026-05-05,"Cancellation Requests","Low"
2025-11-17,"Delivery Delays","Low"
2026-01-05,"Billing Issues","High"
2026-05-02,"Service Quality","Low"
2025-12-05,"Refund Requests","Medium"
2026-04-26,"Billing Issues","Medium"
2026-03-14,"Complaints Handling","Medium"
2026-04-07,"Complaints Handling","Medium"
2025-11-12,"Delivery Delays","Low"
2026-02-11,"Complaints Handling","Medium"
2026-03-25,"Billing Issues","Medium"
2026-01-13,"Billing Issues","Low"
2025-12-28,"Delivery Delays","Low"
2025-11-01,"Complaints Handling","Low"
2025-12-11,"Delivery Delays","Medium"
2026-05-23,"Subscription Issues","Low"
2025-12-17,"Delivery Delays","Low"
2026-04-04,"Billing Issues","Low"
2025-10-11,"App Issues","Low"
2026-01-14,"Complaints Handling","Low"
2025-12-23,"Delivery Delays","Low"
2026-04-10,"Service Quality","High"
2026-04-10,"Billing Issues","Medium"
2025-11-16,"Complaints Handling","Low"
2025-11-25,"Customer Behaviour","High"
2026-06-01,"Delivery Delays","Low"
2026-05-04,"Service Quality","Low"
2026-05-06,"Technical Errors","Low"
2025-11-05,"Customer Behaviour","High"
2025-10-10,"Service Quality","Medium"
2026-04-06,"Payment Failures","Low"
2025-11-04,"Refund Requests","Low"
2026-04-25,"Cancellation Requests","Low"
2026-04-18,"Cancellation Requests","High"
2026-03-19,"Service Quality","Low"
2025-10-21,"Website Problems","Low"
2026-04-20,"Account Access","Medium"
2026-02-01,"Technical Errors","High"
2025-10-31,"Complaints Handling","Low"
2025-12-18,"Product Defects","Low"
2026-03-05,"Data/Privacy Queries","Low"
2025-12-16,"Product Defects","Medium"
2025-12-11,"Delivery Delays","Medium"
2025-10-25,"Cancellation Requests","Low"
2026-03-11,"Information Requests","Low"
2026-04-21,"Delivery Delays","Medium"
2025-12-20,"Website Problems","High"
2026-03-14,"Third-party Issues","Low"
2026-05-09,"Service Quality","Medium"
2026-01-05,"Billing Issues","Medium"
2026-03-06,"Technical Errors","Low"
2025-12-13,"Complaints Handling","Low"
2025-11-16,"Website Problems","Low"
2026-06-07,"Billing Issues","Medium"
2026-05-28,"App Issues","Low"
2026-01-22,"Billing Issues","High"
2026-04-10,"Customer Behaviour","Medium"
2026-05-15,"Website Problems","Low"
2025-11-01,"Customer Behaviour","Medium"
2026-01-15,"Billing Issues","Low"
2025-10-03,"Billing Issues","High"
2026-05-28,"Cancellation Requests","Medium"
2025-11-02,"Complaints Handling","Low"
2026-01-06,"Account Access","Medium"
2026-05-14,"Information Requests","Low"
2026-02-17,"Payment Failures","Medium"
2025-12-02,"Payment Failures","Medium"
2025-11-16,"Billing Issues","Low"
2026-01-14,"Account Access","Medium"
2025-12-30,"Account Access","Medium"
2025-10-15,"Cancellation Requests","High"
2026-01-26,"Product Defects","Medium"
2026-04-08,"Billing Issues","Medium"
2026-06-04,"Customer Behaviour","High"
2025-11-11,"Account Access","Low"
2025-12-10,"Complaints Handling","Low"
2025-10-14,"Payment Failures","Low"
2026-03-31,"Delivery Delays","Medium"
2025-12-13,"Delivery Delays","Medium"
2026-02-20,"Cancellation Requests","Low"
2026-03-23,"Refund Requests","Medium"
2025-12-02,"Product Defects","Medium"
2025-12-26,"Refund Requests","Low"
2025-10-14,"Billing Issues","Low"
2025-12-11,"Communication Problems","High"
2026-03-30,"Billing Issues","Low"
2026-01-28,"Information Requests","Medium"
2025-10-04,"Refund Requests","Low"
2026-03-29,"Billing Issues","Low"
2026-01-31,"Delivery Delays","Low"
2025-10-20,"Third-party Issues","High"
2025-11-21,"Delivery Delays","Medium"
2026-05-05,"Account Access","Low"
2025-12-11,"Billing Issues","Low"
2026-03-07,"Product Defects","Low"
2025-12-27,"Billing Issues","Medium"
2026-02-10,"Cancellation Requests","Medium"
2025-11-30,"Account Access","Medium"
2026-03-04,"Technical Errors","Medium"
2025-10-17,"Customer Behaviour","Medium"
2026-04-20,"Delivery Delays","High"
2026-02-07,"Technical Errors","Low"
2025-12-16,"Customer Behaviour","Medium"
2025-11-04,"Fraud/Scam Concerns","Low"
2025-10-12,"Technical Errors","Low"
2025-12-04,"Subscription Issues","Medium"
2026-03-01,"Payment Failures","High"
2026-05-17,"Subscription Issues","Low"
2025-12-04,"Complaints Handling","Medium"
2026-03-04,"Website Problems","Medium"
2026-05-23,"Technical Errors","High"
2025-10-04,"Delivery Delays","Low"
2025-10-09,"Fraud/Scam Concerns","High"
2025-10-25,"Refund Requests","Medium"
2025-12-18,"Data/Privacy Queries","Medium"
2026-05-07,"Complaints Handling","Low"
2026-04-18,"Subscription Issues","Low"
2025-11-03,"Website Problems","Medium"
2026-01-23,"Delivery Delays","Low"
2025-11-18,"Billing Issues","Low"
2025-11-10,"Service Quality","Low"
2026-06-06,"Payment Failures","Medium"
2026-02-25,"Communication Problems","Medium"
2026-02-17,"Technical Errors","High"
2025-11-04,"Data/Privacy Queries","Low"
2026-02-27,"Product Defects","High"
2025-11-20,"Billing Issues","Low"
2025-12-26,"Product Defects","Medium"
2026-05-25,"Service Quality","High"
2026-06-03,"Product Defects","Low"
2026-02-04,"Account Access","Low"
2026-01-17,"Payment Failures","Medium"
2026-02-11,"Fraud/Scam Concerns","Low"
2026-05-10,"Cancellation Requests","Low"
2025-11-27,"Technical Errors","Low"
2025-10-05,"Payment Failures","Medium"
2026-04-22,"Fraud/Scam Concerns","Medium"
2026-05-06,"Complaints Handling","Low"
2026-05-21,"Information Requests","Low"
2025-12-03,"App Issues","Low"
2026-04-30,"Complaints Handling","Low"
2026-01-25,"Delivery Delays","Medium"
2025-12-17,"Payment Failures","High"
2026-02-03,"Customer Behaviour","Medium"
2026-05-16,"Service Quality","Low"
2026-01-21,"Information Requests","Low"
2026-02-08,"Technical Errors","Low"
2025-10-06,"App Issues","Low"
2025-11-08,"App Issues","Medium"
2026-02-28,"Payment Failures","High"
2026-01-23,"Product Defects","High"
2026-01-02,"Product Defects","Low"
2026-03-09,"Billing Issues","Low"
2026-01-21,"Payment Failures","Low"
2026-04-14,"Service Quality","Low"
2026-05-05,"Technical Errors","High"
2025-12-28,"Refund Requests","Low"
2026-03-04,"Service Quality","Medium"
2025-11-16,"Delivery Delays","High"
2026-02-25,"Complaints Handling","Medium"
2026-01-30,"Technical Errors","High"
2026-01-27,"Service Quality","Low"
2026-01-18,"Billing Issues","Medium"
2026-02-17,"Complaints Handling","Low"
2026-03-24,"Technical Errors","Low"
2025-12-23,"Account Access","High"
2026-03-10,"Delivery Delays","Low"
2026-02-21,"Customer Behaviour","Low"
2026-04-18,"Account Access","Low"
2025-12-02,"Delivery Delays","Low"
2025-12-19,"Technical Errors","Low"
2026-04-19,"Billing Issues","Low"
2026-01-07,"Complaints Handling","Medium"
2026-02-21,"Service Quality","Low"
2026-03-13,"Cancellation Requests","Low"
2025-10-22,"Other","Low"
2026-03-06,"Billing Issues","Low"
2025-10-13,"Service Quality","Low"
2026-05-23,"Technical Errors","Medium"
2025-12-07,"Cancellation Requests","Low"
2026-05-03,"Customer Behaviour","Medium"
2026-06-03,"Service Quality","Low"
2026-03-20,"Service Quality","High"
2025-11-03,"Service Quality","Low"
2026-04-22,"Billing Issues","High"
2026-04-10,"Account Access","Medium"
2026-01-11,"Customer Behaviour","Medium"
2026-01-01,"Account Access","High"
2025-10-12,"Product Defects","Low"
2026-05-29,"Account Access","Medium"
2026-04-25,"Delivery Delays","Low"
2025-11-28,"Customer Behaviour","Low"
2025-11-07,"Product Defects","Low"
2026-04-12,"Delivery Delays","Low"
2026-04-09,"Account Access","Low"
2025-11-17,"Customer Behaviour","Low"
2026-06-05,"Cancellation Requests","Low"
2026-01-13,"Customer Behaviour","Low"
2026-01-13,"Service Quality","Medium"
2025-12-18,"Website Problems","Medium"
2025-10-01,"Product Defects","Medium"
2026-02-28,"Service Quality","Medium"
2025-11-16,"Payment Failures","Low"
2026-03-01,"Delivery Delays","Low"
2026-01-23,"Service Quality","Medium"
2026-01-20,"Service Quality","High"
2025-10-01,"Information Requests","Low"
2026-03-25,"Complaints Handling","High"
2026-02-28,"Service Quality","High"
2026-02-21,"Delivery Delays","High"
2026-05-09,"Payment Failures","Medium"
2026-03-04,"Payment Failures","High"
2025-12-23,"Other","High"
2026-03-26,"Service Quality","High"
2026-05-12,"Account Access","Low"
2026-04-06,"Payment Failures","High"
2026-01-13,"Technical Errors","Medium"
2026-02-08,"Complaints Handling","Medium"
2026-03-08,"Service Quality","Medium"
2026-06-02,"Technical Errors","High"
2025-12-25,"Technical Errors","Low"
2025-12-13,"Technical Errors","High"
2026-05-08,"Fraud/Scam Concerns","Low"
2026-01-28,"Account Access","High"
2026-02-25,"Third-party Issues","Low"
2025-10-15,"Information Requests","High"
2026-01-28,"Product Defects","Low"
2026-04-16,"Delivery Delays","Low"
2026-01-01,"Communication Problems","Low"
2026-03-25,"Complaints Handling","Low"
2026-04-19,"Refund Requests","Low"
2026-02-07,"Product Defects","Low"
2025-12-15,"Delivery Delays","Low"
2026-05-10,"Delivery Delays","Medium"
2025-10-25,"Subscription Issues","Low"
2025-12-14,"Product Defects","Low"
2026-02-27,"Technical Errors","Low"
2026-04-16,"Product Defects","Low"
2025-10-01,"Other","Medium"
2025-12-20,"Service Quality","Medium"
2026-03-25,"Cancellation Requests","Low"
2026-04-19,"Technical Errors","High"
2025-12-31,"Subscription Issues","Low"
2025-10-01,"Information Requests","Low"
2025-10-06,"Cancellation Requests","Low"
2025-11-13,"Cancellation Requests","High"
2026-01-19,"Service Quality","Low"
2025-10-03,"Delivery Delays","High"
2026-02-06,"Complaints Handling","Medium"
2026-02-19,"Billing Issues","Low"
2026-01-16,"Product Defects","Low"
2026-04-26,"Customer Behaviour","Low"
2026-04-01,"Billing Issues","Low"
2026-05-06,"Service Quality","Low"
2026-03-27,"Delivery Delays","Medium"
2025-11-04,"Customer Behaviour","Medium"
2026-03-19,"Service Quality","Low"
2025-12-05,"Service Quality","Medium"
2026-02-05,"Billing Issues","Low"
2026-05-10,"App Issues","Medium"
2026-02-08,"Account Access","Low"
2026-04-24,"Subscription Issues","Low"
2026-06-02,"Service Quality","Low"
2026-01-04,"Product Defects","Medium"
2025-11-18,"Service Quality","Low"
2026-05-18,"Complaints Handling","Low"
2026-03-30,"Billing Issues","Medium"
2025-10-11,"Service Quality","High"
2026-04-16,"Cancellation Requests","High"
2026-04-22,"Customer Behaviour","Low"
2025-10-10,"Product Defects","Low"
2026-04-08,"Fraud/Scam Concerns","Low"
2026-05-01,"Billing Issues","High"
2026-02-27,"Account Access","High"
2025-12-08,"Payment Failures","Low"
2026-01-02,"Subscription Issues","High"
2026-05-15,"App Issues","Low"
2025-10-03,"Delivery Delays","Low"
2026-05-05,"Delivery Delays","Medium"
2025-10-02,"Customer Behaviour","Medium"
2036-06-05,"Subscription Issues","Medium"
2026-04-10,"Complaints Handling","High"
2025-10-13,"Technical Errors","Medium"
2026-06-02,"Information Requests","Low"
2025-12-19,"Billing Issues","Medium"
2025-10-24,"Fraud/Scam Concerns","Medium"
2026-01-03,"Cancellation Requests","Medium"
2026-02-08,"Service Quality","Low"
2026-02-10,"Billing Issues","Low"
2025-12-01,"Billing Issues","Low"
2026-05-10,"Customer Behaviour","Low"
2026-04-14,"Product Defects","Low"
2026-04-03,"Delivery Delays","High"
2026-02-14,"Subscription Issues","Low"
2026-04-15,"Cancellation Requests","Medium"
2026-03-23,"Technical Errors","Medium"
2026-06-02,"Complaints Handling","Low"
2025-12-24,"Cancellation Requests","Low"
2026-01-26,"Delivery Delays","Low"
2025-10-07,"Account Access","Low"
2026-03-08,"Account Access","Low"
2025-10-17,"Information Requests","Low"
2025-12-05,"Product Defects","Low"
2025-12-01,"Complaints Handling","Low"
2026-06-07,"Technical Errors","High"
2026-01-13,"Delivery Delays","Medium"
2025-11-25,"Service Quality","Low"
2026-04-14,"Service Quality","High"
2026-05-12,"Service Quality","High"
2026-04-17,"Billing Issues","Low"
2025-11-02,"Cancellation Requests","Low"
2026-04-16,"Account Access","Medium"
2026-05-28,"Information Requests","Low"
2026-02-03,"Communication Problems","Medium"
2026-05-06,"Information Requests","Low"
2025-10-01,"Delivery Delays","Low"
2025-12-10,"Payment Failures","Low"
2026-05-11,"Complaints Handling","Low"
2026-04-14,"Information Requests","High"
2026-04-11,"Delivery Delays","Medium"
2026-05-01,"Delivery Delays","High"
2025-11-23,"Information Requests","High"
2026-04-30,"Technical Errors","High"
2026-03-11,"Technical Errors","High"
2025-11-06,"Information Requests","Low"
2026-06-07,"Payment Failures","High"
2026-05-24,"Delivery Delays","Low"
2026-02-03,"Data/Privacy Queries","Low"
2025-12-11,"Cancellation Requests","Low"
2026-02-24,"Delivery Delays","Low"
2025-12-16,"Payment Failures","Low"
2025-10-16,"Technical Errors","Low"
2025-12-03,"Product Defects","Low"
2026-05-01,"Service Quality","Low"
2026-04-29,"Subscription Issues","Low"
2026-03-03,"Website Problems","Medium"
2025-11-20,"Billing Issues","Low"
2026-02-02,"Technical Errors","High"
2026-04-02,"Delivery Delays","Low"
2026-03-23,"Billing Issues","Medium"
2026-01-25,"Complaints Handling","Medium"
2026-05-11,"Product Defects","Low"
2026-05-29,"Complaints Handling","Low"
2026-02-13,"Service Quality","Medium"
2026-02-11,"Delivery Delays","Medium"
2026-05-18,"Communication Problems","Low"
2025-12-04,"Customer Behaviour","Low"
2026-02-09,"Billing Issues","High"
2026-06-03,"Fraud/Scam Concerns","Low"
2026-02-17,"Billing Issues","Low"
2026-02-10,"Refund Requests","Medium"
2025-12-07,"Complaints Handling","Low"
2026-03-31,"Billing Issues","Low"
2025-10-09,"Billing Issues","Low"
2025-10-28,"Billing Issues","Low"
2026-03-04,"Service Quality","Low"
2025-12-06,"Service Quality","Medium"
2025-11-17,"Complaints Handling","Low"
2025-11-26,"Cancellation Requests","High"
2026-02-25,"Refund Requests","Low"
2026-03-16,"Account Access","Low"
2026-04-07,"Billing Issues","Low"
2025-11-30,"Refund Requests","Medium"
2026-04-14,"Product Defects","Low"
2026-05-01,"Complaints Handling","Low"
2025-12-23,"Delivery Delays","Low"
2026-05-22,"Cancellation Requests","High"
2025-10-04,"Website Problems","Medium"
2026-03-16,"Service Quality","Medium"
2026-02-19,"Technical Errors","Low"
2025-10-01,"Product Defects","Medium"
2025-12-25,"Service Quality","High"
2026-01-14,"Refund Requests","Low"
2026-01-17,"Delivery Delays","Low"
2026-04-14,"Service Quality","High"
2026-03-20,"Communication Problems","Medium"
